Sentence,"Aspect Term","True Polarity",Gemini_Polarity
">  iPhoto is probably the best program I have ever worked with: easy and convenient.	iPhoto	positive
I love to write and play with graphics and html programming and my new Toshiba works great on both!	works	positive
My laptop now has no battery.	battery	negative
Beta had better quality, but VHS became the industry standard.	quality	conflict
Beta had better quality, but VHS became the industry standard.	VHS	conflict
It made the computer much easier to use and navigate.	use	positive
It made the computer much easier to use and navigate.	navigate	positive
:-)If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.	battery life	negative
Needs longer lasting battery, More than 1 to 2 Hrs.	battery	negative
in May I started having problems with the USB ports not working.	USB ports	negative
10 plus hours of battery...	battery	positive
The design is awesome, quality is unprecedented.	design	positive
The design is awesome, quality is unprecedented.	quality	positive
The Mac version of Microsoft Office is cheaper than buying the actual and works just as well.	Mac version of Microsoft Office	positive
The Mac takes about the same amount of starting-up time as the average PC, but keeps itself cleaned up and ready to use.	starting-up time	positive
The Toshiba Net book operates very well.	operates	positive
the touch pad is fine - again, it's a real touch pad.	touch pad	positive
the touch pad is fine - again, it's a real touch pad.	touch pad	positive
The pictures are clear as can be.	pictures	positive
It is also very lightweight, making transporting this computer very easy.	transporting	positive
It's wonderful for computer gaming.	gaming	positive
You have to toss out the wifi card and replace it just to have any sort of network capability.	network capability	negative
You have to toss out the wifi card and replace it just to have any sort of network capability.	wifi card	negative
AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!	printer	positive
it is very easy for anyone to use an apple and specially the mcbook pro notebook.	use	positive
The flaws are, this computer is not for computer gamers because of the OS X.	OS X	negative
They really do have the worlds very worst repair service.	repair service	negative
They need to stop outsoucing and send some complaint calls to US based customer service agents for those who live in the United states.	customer service agents	negative
Â  I was also able to install and use my Photoshop and AfterEffects programs easily.	Photoshop	positive
Â  I was also able to install and use my Photoshop and AfterEffects programs easily.	AfterEffects programs	positive
It's perfect for everything and runs faster than an average pc!	runs	positive
Â Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.	warrenty	negative
I'm already hooked on the sleek look and dependability that this laptop has shown.	look	positive
I'm already hooked on the sleek look and dependability that this laptop has shown.	dependability	positive
And having to deal with the company has been a even worse nightmare.	company	negative
Â  I will definitely be getting a new laptop if it has any more issues after the warranty expires and researching carefully when I do so I don't run accross a situation like this again!	warranty	neutral
It has all the features that are necessary for college and if not they are able to be added onto the computer.	features	positive
I've owned this labtop for less then two months, already the mouse button has broke.	mouse button	negative
It did fairly well, other than it's poor performance, overheating and occational blue screen.	performance	negative
The touchpad is very intuitive, so much so that I never want to use buttons to click again!	touchpad	positive
The touchpad is very intuitive, so much so that I never want to use buttons to click again!	buttons	neutral
tons of bloatware and junk programs.	programs	negative
lots of extra space but the keyboard is ridiculously small.	space	positive
lots of extra space but the keyboard is ridiculously small.	keyboard	negative
It's so bad that I'm thinking I only got half a battery or something.	battery	negative
Good keyboard, long battery life, largest hard drive and windows 7.	keyboard	positive
Good keyboard, long battery life, largest hard drive and windows 7.	battery life	positive
Good keyboard, long battery life, largest hard drive and windows 7.	hard drive	positive
Good keyboard, long battery life, largest hard drive and windows 7.	windows 7	positive
The processor is very quick and effective as I load webpages and applications.	processor	positive
The processor is very quick and effective as I load webpages and applications.	applications	neutral
The processor is very quick and effective as I load webpages and applications.	load	positive
The processor is very quick and effective as I load webpages and applications.	webpages	neutral
My battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars!	battery	negative
It pretty much does everything we could ever need, and looks great to boot.	boot	positive
As a lifelong Windows user, I was extremely pleased to make the change to Mac.	Windows	negative
The Macbook is also made better, my computer has never got a virus, and the laptop runs just as fast as the first day I bought it.	runs	positive
I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.	OpenOffice	neutral
I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.	Firefox	neutral
I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.	price	positive
Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.	quality	negative
Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.	performance	negative
Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.	battery life	positive
I picked it out because it was inexpensive ($400) and I thought it would be a good, easy to use first laptop.	use	positive
MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.	PRODUCT KEY	negative
Pay attention to the specs if you want these options.	specs	neutral
It also does not have bluetooth.	bluetooth	negative
Sure it has the one touch keys but that was the best feature of the computer.	feature	conflict
Sure it has the one touch keys but that was the best feature of the computer.	one touch keys	positive
great battery life.	battery life	positive
The real stand out on this computer is the feel of the keyboard and it's speed.	keyboard	positive
The real stand out on this computer is the feel of the keyboard and it's speed.	speed	positive
At first, the computer seemed a great deal--seemingly high-end specs for a low, low price.	specs	positive
At first, the computer seemed a great deal--seemingly high-end specs for a low, low price.	price	positive
Delivery was early too.	Delivery	positive
Love the stability of the Mac software and operating system.	stability	positive
Love the stability of the Mac software and operating system.	Mac software	positive
Love the stability of the Mac software and operating system.	operating system	positive
And that probably explains why I've already had my SATA controller go bad within a year of buying it.	SATA controller	negative
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).	video editing	positive
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).	performance	negative
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).	mobile video editing	neutral
My main reason to convert was the imovie program.	imovie program	positive
It has a faster processor and more ram.	processor	positive
It has a faster processor and more ram.	ram	positive
Laptops are usually used on the go, so why not give you a better battery?	battery	negative
I will never complain about the price since I believe you get what you pay for and my MacBook Pro was worth every dollar.	price	conflict
I wasn't a big fan of the Netbooks but this one was very well designed.	designed	positive
And the warranty on this macbook pro can last up to 5 years or 1000 battery recharge cycles.	warranty	positive
I still have that stupid bluetooth mouse to!	bluetooth mouse	negative
Would like more trendy, high tech features.	features	negative
Keyboard is great but primary and secondary control buttons could be more durable.	Keyboard	positive
Keyboard is great but primary and secondary control buttons could be more durable.	control buttons	negative
Screen is a bit glossy, but that's not too bad.	Screen	conflict
I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.	motherboard	negative
I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.	motherboard	negative
Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).	Processor	neutral
Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).	performance	neutral
They say it could be the motherboard again, but Dell	motherboard	negative
2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into	patches	negative
Love the speed, especially!	speed	positive
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.	system memory	negative
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.	radeon 5850	negative
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.	DDR5	positive
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.	DDR3	negative
Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.	programs	positive
Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.	programs	positive
The speed gives you the power to work on these projects seamlessly, and multiple at a time if you sowish.	speed	positive
Awesome laptop and the perfect size to carry around in college.	size	positive
Â A MONTH LATER, we reinstall the OS (Vista).	OS (Vista)	negative
Some problems can be fixed if you purchase new software, but there is no guarentee.	software	negative
My real problem with it? The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.	battery life	negative
The battery life is also relatively good.	battery life	positive
Â  I definitely suggest getting an extended warranty, you will probably need it!	extended warranty	positive
I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.	features	positive
I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.	programs	positive
I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.	use	positive
I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.	pop up windows	positive
I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.	web programming software	positive
I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.	pop ups	neutral
Memory is upgradable.	Memory	positive
Web access through the 3G network is so slow, it's very frustrating and VERY DISAPPOINTING.	3G network	negative
Web access through the 3G network is so slow, it's very frustrating and VERY DISAPPOINTING.	Web access	negative
The large screen also helps when you are working in design based programs like Adobe Creative Suite.	screen	positive
The large screen also helps when you are working in design based programs like Adobe Creative Suite.	design based programs	neutral
The large screen also helps when you are working in design based programs like Adobe Creative Suite.	Adobe Creative Suite	neutral
Moral of the story:-Do not buy anything from companies that do not respect their customers.	companies	negative
This is my first Dell I heard their customer service was lacking and that they were working on improving it!	customer service	negative
As well as having the plug in the computer come loose.	plug	negative
Second HDD cover has walls inside that need to be broken if you what to install one.	HDD cover	neutral
If you want more information on macs I suggest going to apple.com and heading towards the macbook page for more information on the applications.	applications	neutral
Great product by Apple with the new great looking design.	design	positive
I love the keyboard.	keyboard	positive
I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.	iphoto	positive
I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.	program	positive
The screen isn't huge, but that doesn't matter when I output media to the 50 inch LCD TV.	screen	conflict
I will have to purchase Spy ware or Nortell for privacy protection.	Spy ware	neutral
I will have to purchase Spy ware or Nortell for privacy protection.	Nortell	neutral
I was said it's videocard.	videocard	negative
For the price and what I get out of it has exceeded my expectations.	price	positive
If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.	drivers	negative
The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.	speakers	negative
The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.	keyboard	neutral
Â  Now, as easy as it is to use, and I do think it is a great STARTER laptop.	use	positive
Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.	Setting	negative
Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.	screen size	negative
Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.	pixel sizes	negative
It had some kind of pre installed software update that completely shut the computer down when you clicked it.	pre installed software update	negative
Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.	customer services	negative
Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.	toshiba customer services	negative
Also, the space bar makes a noisy click every time you use it.	space bar	negative
iPhotos is an excellent program for storing and organizing photos.	iPhotos	positive
iPhotos is an excellent program for storing and organizing photos.	program	positive
Other than that its a great performing machine and well meets all my needs and more.	performing	positive
Called tech support and got the usual Acer We don't support software but for $$$ we can help you" I explained there was no software involved in booting.",software,negative,NULL
"I am not much of a computer techie, so I can understand some ofÂ the internal problems, though I do have trend micro as an antiviral program.","trend micro",neutral,NULL
"I am not much of a computer techie, so I can understand some ofÂ the internal problems, though I do have trend micro as an antiviral program.","antiviral program",neutral,NULL
"I have Vista, so I am unable to install and uninstallÂ  some programs.",Vista,negative,NULL
"I have Vista, so I am unable to install and uninstallÂ  some programs.",programs,negative,NULL
"I have Vista, so I am unable to install and uninstallÂ  some programs.",install,negative,NULL
"I have Vista, so I am unable to install and uninstallÂ  some programs.",uninstallÂ ,negative,NULL
") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.",Applecare,neutral,NULL
") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.","extended warranty",neutral,NULL
"Â  since thenÂ i have had minor problems with slow operation.",operation,negative,NULL
"Â  This time the mouse pad and right click key wouldn't work!","mouse pad",negative,NULL
"Â  This time the mouse pad and right click key wouldn't work!","right click key",negative,NULL
"Â  I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.","tech support",negative,NULL
"Â  I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.","online chat",neutral,NULL
"Â  However the frozen screens kept happening.",screens,negative,NULL
"Â  They replaced my hard drive as well as my mother board.","hard drive",neutral,NULL
"Â  They replaced my hard drive as well as my mother board.","mother board",neutral,NULL
"Â  I sent it back and found this time that the battery was faulty, so I got a new one and some other fixes they found.",battery,negative,NULL
"Â  Also, the battery does not last very long at all.",battery,negative,NULL
"Â  I constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed.",services,negative,NULL
